PLAYER,TEAM,GP,W,L,MIN,DIST. FEET,DIST. MILES,DIST. MILES OFF,DIST. MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF,Ano
John Lucas III,UTA,42,10,32,591,233756,44.3,24.7,19.6,4.53,4.76,4.27,2013
John Jenkins,ATL,13,6,7,158,61632,11.7,6.1,5.6,4.46,4.98,4.01,2013
John Henson,MIL,69,12,57,1832,665300,126,67.2,58.8,4.13,4.35,3.91,2013
Joel Freeland,POR,52,37,15,727,271699,51.5,27.8,23.7,4.27,4.5,4.03,2013
Joel Anthony,BOS,33,16,17,186,73449,13.9,7.4,6.5,4.49,4.75,4.23,2013
Joe Johnson,BKN,78,42,36,2544,891712,168.9,90.2,78.7,4,4.27,3.73,2013
Jodie Meeks,LAL,77,25,52,2556,986852,186.9,95.2,91.8,4.4,4.63,4.19,2013
Joakim Noah,CHI,80,48,32,2820,1040154,197,107,90,4.2,4.42,3.97,2013
Jimmy Butler,CHI,67,43,24,2590,956810,181.2,96.8,84.4,4.22,4.35,4.07,2013
Jimmer Fredette,CHI,49,20,29,519,198342,37.6,21,16.5,4.36,4.76,3.92,2013
Jerryd Bayless,BOS,72,24,48,1686,606613,114.9,63.3,51.6,4.1,4.41,3.77,2013
Jermaine O'Neal,GSW,43,26,17,862,295834,56,28.5,27.6,3.91,4.06,3.77,2013
Jeremy Tyler,NYK,41,20,21,398,140827,26.7,13.4,13.3,4.04,3.99,4.09,2013
Jeremy Lin,HOU,71,48,23,2054,777997,147.3,77.7,69.7,4.31,4.71,3.95,2013
Jeremy Lamb,OKC,78,57,21,1538,573439,108.6,56.4,52.2,4.25,4.47,4.04,2013
Jeremy Evans,UTA,66,23,43,1209,471088,89.2,49.2,40.1,4.44,4.66,4.21,2013
Jeffery Taylor,CHA,26,12,14,629,245166,46.4,25.4,21,4.42,4.75,4.07,2013
Jeff Withey,NOP,58,21,37,684,263938,50,27.6,22.4,4.39,4.71,4.06,2013
Jeff Teague,ATL,78,37,41,2514,864956,163.8,89.9,73.9,3.92,4.37,3.49,2013
Jeff Green,BOS,82,25,57,2805,991607,187.8,101.7,86.1,4.02,4.3,3.74,2013
