PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,Ano
Greg Smith,HOU,23,6/10,250,Fresno State,USA,Undrafted,Undrafted,Undrafted,11,38,27,0,-7.2,10.30%,15.50%,14.60%,62.90%,0.00%,2013
Greg Stiemsma,NOP,28,6/11,260,Wisconsin,USA,Undrafted,Undrafted,Undrafted,55,159,226,36,-8,7.20%,16.50%,8.10%,58.40%,5.50%,2013
Greivis Vasquez,TOR,27,6/6,211,Maryland,Venezuela,2010,1,28,79,758,173,323,4.5,1.10%,8.80%,21.10%,53.70%,31.00%,2013
Gustavo Ayon,ATL,29,6/10,250,None,Mexico,Undrafted,Undrafted,Undrafted,26,112,125,28,-3.5,10.10%,20.00%,14.60%,50.50%,10.10%,2013
Hamady Ndiaye,SAC,27,7/1,235,Rutgers,Senegal,2010,2,56,14,6,18,3,-12.1,5.70%,17.80%,7.20%,31.80%,6.50%,2013
Harrison Barnes,GSW,22,6/8,210,North Carolina,USA,2012,1,7,78,738,311,116,-0.8,2.90%,10.80%,16.60%,48.60%,8.00%,2013
Hasheem Thabeet,OKC,27,7/3,263,Connecticut,Tanzania,2009,1,2,23,27,40,1,-0.7,5.40%,15.40%,9.00%,53.60%,0.80%,2013
Hedo Turkoglu,LAC,35,6/10,220,None,Turkey,2000,1,16,38,115,89,33,1.8,2.80%,18.40%,15.00%,49.20%,12.70%,2013
Henry Sims,PHI,24,6/10,248,Georgetown,USA,Undrafted,Undrafted,Undrafted,46,350,237,52,-7.6,10.90%,15.70%,18.10%,53.50%,10.10%,2013
Hilton Armstrong,GSW,29,6/11,235,Connecticut,USA,2006,1,12,15,25,47,5,6.6,16.20%,27.20%,13.30%,48.00%,7.40%,2013
Hollis Thompson,PHI,23,6/8,206,Georgetown,USA,Undrafted,Undrafted,Undrafted,77,461,247,73,-9.1,3.90%,10.30%,11.10%,57.00%,6.10%,2013
Ian Clark,UTA,23,6/3,173,Belmont,USA,Undrafted,Undrafted,Undrafted,23,68,19,15,8.2,1.70%,9.00%,21.20%,48.50%,14.70%,2013
Ian Mahinmi,IND,27,6/11,250,None,France,2005,1,28,77,272,257,24,0.6,8.50%,11.90%,11.20%,53.80%,3.10%,2013
Iman Shumpert,NYK,24,6/5,220,Georgia Tech,USA,2011,1,17,74,495,308,129,4.6,4.20%,12.40%,13.90%,48.00%,9.70%,2013
Isaiah Canaan,HOU,23,6/1,188,Murray State,USA,2013,2,34,22,101,24,22,-6.6,2.60%,6.20%,20.00%,50.60%,14.40%,2013
Isaiah Thomas,SAC,25,5/9,185,Washington,USA,2011,2,60,72,"1,465.00",210,454,0.7,1.90%,6.50%,25.40%,57.40%,31.70%,2013
Ish Smith,PHX,25,6/1,175,Wake Forest,USA,Undrafted,Undrafted,Undrafted,70,261,129,179,0.3,3.00%,9.90%,15.50%,43.80%,27.50%,2013
J.J. Barea,MIN,30,6/1,178,Northeastern,Puerto Rico,Undrafted,Undrafted,Undrafted,79,660,154,303,-3.7,1.00%,9.30%,23.80%,47.10%,35.30%,2013
JJ Hickson,DEN,25,6/9,242,North Carolina State,USA,2008,1,19,69,814,632,96,-4.4,10.40%,22.00%,20.50%,52.10%,8.50%,2013
JJ Redick,LAC,30,6/4,190,Duke,USA,2006,1,11,35,532,74,78,9.6,0.90%,6.40%,20.90%,59.80%,11.60%,2013
JR Smith,NYK,28,6/6,220,No College,USA,2004,1,18,74,"1,071.00",296,219,-0.6,1.50%,11.70%,21.30%,52.70%,15.20%,2013
JaVale McGee,DEN,26,7/1,270,Nevada-Reno,USA,2008,1,18,5,35,17,2,-2.3,12.00%,10.60%,24.10%,45.50%,3.50%,2013
Jae Crowder,DAL,23,6/6,235,Marquette,USA,2012,2,34,78,356,194,60,10.9,3.90%,11.90%,12.80%,55.10%,6.70%,2013
Jamaal Franklin,MEM,22,6/5,191,San Diego State,USA,2013,2,41,21,39,23,6,4,2.60%,12.10%,13.70%,48.90%,5.30%,2013
Jamaal Tinsley,UTA,36,6/3,188,Iowa State,USA,2001,1,27,8,9,11,23,-22.4,1.90%,9.40%,11.90%,22.50%,35.90%,2013
Jamal Crawford,LAC,34,6/5,200,Michigan,USA,2000,1,8,69,"1,282.00",158,223,5.9,1.60%,5.60%,26.40%,55.60%,18.10%,2013
Jameer Nelson,ORL,32,6/1,190,St. Joseph's (PA),USA,2004,1,20,68,820,231,476,-6.8,1.30%,9.50%,19.70%,51.50%,34.10%,2013
James Anderson,PHI,25,6/6,210,Oklahoma State,USA,2010,1,20,80,810,300,149,-10.7,2.30%,10.60%,15.60%,53.00%,9.90%,2013
James Harden,HOU,24,6/5,220,Arizona State,USA,2009,1,3,73,"1,851.00",344,446,7.2,2.30%,9.40%,27.00%,61.80%,26.60%,2013
James Johnson,MEM,27,6/9,248,Wake Forest,USA,2009,1,16,52,384,166,111,5.8,6.70%,11.00%,19.20%,55.20%,17.50%,2013
James Jones,MIA,33,6/8,215,Miami,USA,2003,2,49,20,97,23,9,16.9,1.10%,9.30%,16.00%,66.60%,6.00%,2013
James Nunnally,PHI,23,6/7,205,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,13,44,19,8,-11.9,0.50%,10.20%,15.00%,44.00%,8.20%,2013
James Southerland,NOP,24,6/8,215,Syracuse,USA,Undrafted,Undrafted,Undrafted,4,14,8,0,13.2,0.00%,22.20%,23.90%,44.10%,0.00%,2013
Jan Vesely,DEN,24,7/1,242,None,Czech Republi...,2011,1,6,54,197,191,21,-6.2,9.50%,15.80%,13.00%,49.80%,4.30%,2013
Jannero Pargo,CHA,34,6/1,185,Arkansas,USA,Undrafted,Undrafted,Undrafted,29,136,20,52,-10.1,0.40%,8.50%,27.30%,55.40%,43.30%,2013
Jared Cunningham,SAC,23,6/4,195,Oregon State,USA,2012,1,24,13,26,6,8,4.5,1.20%,5.50%,16.40%,46.40%,15.40%,2013
Jared Dudley,LAC,28,6/7,225,Boston College,USA,2007,1,22,74,511,160,104,6.8,2.10%,7.00%,13.40%,54.10%,8.70%,2013
Jared Sullinger,BOS,22,6/9,260,Ohio State,USA,2012,1,21,74,982,601,118,-0.8,11.20%,18.30%,23.40%,49.70%,9.70%,2013
Jarrett Jack,CLE,30,6/3,200,Georgia Tech,USA,2005,1,22,80,760,223,324,-5.6,0.90%,8.90%,17.60%,49.80%,23.20%,2013
Jarvis Varnado,PHI,26,6/9,230,Mississippi State,USA,2010,2,41,24,99,63,13,-11.2,5.30%,12.60%,11.90%,59.70%,5.90%,2013
Jason Collins,BKN,35,7/1,255,Stanford,USA,2001,1,18,22,25,19,4,-9.8,4.20%,7.70%,8.60%,48.50%,3.40%,2013
Jason Maxiell,ORL,31,6/7,260,Cincinnati,USA,2005,1,26,34,109,86,9,-9.5,5.50%,11.90%,12.00%,45.90%,2.70%,2013
Jason Smith,NOP,28,7/1,240,Colorado State,USA,2007,1,20,31,301,181,29,-2.5,6.00%,16.90%,17.80%,49.50%,5.40%,2013
Jason Terry,BKN,36,6/2,180,Arizona,USA,1999,1,10,35,159,37,56,-5.4,0.70%,6.50%,14.40%,50.10%,15.60%,2013
Jason Thompson,SAC,27,6/11,250,Rider University,USA,2008,1,12,82,586,527,53,0.4,7.70%,18.80%,14.30%,52.30%,4.00%,2013
Jeff Adrien,MIL,28,6/7,245,Connecticut,USA,Undrafted,Undrafted,Undrafted,53,362,306,38,-3.2,10.40%,22.30%,16.40%,55.30%,6.40%,2013
Jeff Ayres,SAS,27,6/9,250,Arizona State,USA,2009,2,31,73,240,258,60,6.2,10.20%,17.20%,12.00%,60.50%,8.50%,2013
Jeff Green,BOS,27,6/9,235,Georgetown,USA,2007,1,5,82,"1,382.00",380,138,-6.1,1.80%,12.10%,23.20%,52.00%,8.50%,2013
Jeff Teague,ATL,26,6/2,181,Wake Forest,USA,2009,1,19,79,"1,304.00",208,528,1.3,1.40%,6.90%,25.00%,54.10%,34.70%,2013
Jeff Withey,NOP,24,7/1,235,Kansas,USA,2013,2,39,58,190,150,26,2.7,7.50%,14.70%,11.80%,59.00%,5.70%,2013
Jeffery Taylor,CHA,25,6/7,225,Vanderbilt,Sweden,2012,2,31,26,208,60,22,-5.1,2.20%,7.50%,18.40%,43.60%,6.00%,2013
Jeremy Evans,UTA,26,6/9,197,Western Kentucky,USA,2010,2,55,66,401,310,44,-7.4,10.10%,16.70%,14.90%,54.90%,6.10%,2013
Jeremy Lamb,OKC,22,6/5,185,Connecticut,USA,2012,1,12,78,665,189,115,7.1,1.80%,10.40%,19.70%,52.20%,12.30%,2013
Jeremy Lin,HOU,25,6/3,200,Harvard,USA,Undrafted,Undrafted,Undrafted,71,890,187,294,3.9,1.70%,6.70%,19.80%,57.20%,22.90%,2013
Jeremy Tyler,NYK,23,6/10,250,None,USA,2011,2,39,41,146,109,8,-5.1,9.90%,18.90%,18.30%,53.20%,3.20%,2013
Jermaine O'Neal,GSW,35,6/11,255,None,USA,1996,1,17,44,349,242,25,2.1,9.90%,16.40%,18.10%,57.00%,4.50%,2013
Jerryd Bayless,BOS,25,6/3,200,Arizona,USA,2008,1,11,72,666,145,194,-3.5,1.30%,7.60%,19.30%,49.80%,18.70%,2013
Jimmer Fredette,CHI,25,6/2,195,Brigham Young,USA,2011,1,10,49,273,52,64,-2.9,1.50%,8.30%,23.70%,57.80%,22.10%,2013
Jimmy Butler,CHI,24,6/7,220,Marquette,USA,2011,1,30,67,878,330,175,4,3.40%,9.50%,16.70%,52.20%,11.00%,2013
Joakim Noah,CHI,29,6/11,232,Florida,USA,2007,1,9,80,"1,007.00",900,431,4.4,10.20%,22.10%,18.50%,53.10%,25.80%,2013
Jodie Meeks,LAL,26,6/4,208,Kentucky,USA,2009,2,41,77,"1,209.00",194,138,-8.8,1.10%,6.10%,18.50%,60.10%,8.50%,2013
Joe Johnson,BKN,33,6/7,240,Arkansas,USA,2001,1,10,79,"1,245.00",270,216,0.4,2.00%,9.00%,22.10%,56.40%,14.80%,2013
Joel Anthony,BOS,31,6/9,245,UNLV,Canada,Undrafted,Undrafted,Undrafted,33,28,38,2,-6.5,7.80%,12.70%,9.10%,39.40%,1.60%,2013
Joel Freeland,POR,27,6/10,225,None,United Kingdo...,2006,1,30,52,174,208,36,1.9,11.30%,15.50%,12.00%,49.80%,7.20%,2013
John Henson,MIL,23,6/11,220,North Carolina,USA,2012,1,14,70,779,497,113,-11.5,9.30%,18.00%,20.10%,54.30%,11.10%,2013
John Jenkins,ATL,23,6/4,215,Vanderbilt,USA,2012,1,23,13,40,22,11,-9.9,1.90%,11.20%,15.20%,45.70%,11.30%,2013
John Lucas III,UTA,31,5/11,166,Oklahoma State,USA,Undrafted,Undrafted,Undrafted,42,159,39,42,-14.2,1.90%,4.80%,15.70%,40.30%,12.00%,2013
John Salmons,TOR,34,6/6,207,Miami,USA,2002,1,26,78,403,163,147,-0.5,1.10%,8.50%,12.60%,46.20%,13.50%,2013
John Wall,WAS,23,6/4,195,Kentucky,USA,2010,1,1,82,"1,583.00",333,721,3.5,1.30%,10.20%,26.70%,52.40%,39.20%,2013
Jon Leuer,MEM,25,6/10,228,Wisconsin,USA,2011,2,40,49,302,158,20,-0.6,6.10%,20.80%,20.80%,56.60%,5.20%,2013
Jonas Jerebko,DET,27,6/10,231,None,Sweden,2009,2,39,64,270,175,39,-5.2,6.10%,17.00%,15.80%,57.70%,8.80%,2013
Jonas Valanciunas,TOR,22,6/11,231,None,Lithuania,2011,1,5,81,916,714,57,2.5,10.40%,22.00%,18.30%,57.90%,4.10%,2013
Jordan Crawford,GSW,25,6/4,195,Xavier,USA,2010,1,27,81,890,183,281,-4.7,1.40%,8.10%,23.20%,51.60%,25.60%,2013
Jordan Farmar,LAL,27,6/2,180,UCLA,USA,2006,1,26,41,416,104,199,-5.4,2.00%,8.80%,22.30%,53.30%,34.30%,2013
Jordan Hamilton,HOU,23,6/7,220,Texas-Austin,USA,2011,1,26,60,404,194,52,-4.8,2.90%,14.80%,18.30%,50.70%,8.40%,2013
Jordan Hill,LAL,26,6/10,235,Arizona,USA,2009,1,8,72,696,535,54,-9.4,12.40%,21.70%,19.40%,57.90%,6.30%,2013
Jorge Gutierrez,BKN,25,6/3,195,California,Mexico,Undrafted,Undrafted,Undrafted,15,62,22,30,-8.9,1.30%,8.40%,13.60%,52.30%,20.40%,2013
Jose Calderon,DAL,32,6/3,211,None,Spain,Undrafted,Undrafted,Undrafted,81,925,192,377,-0.5,1.30%,6.80%,16.00%,59.60%,22.30%,2013
Josh Childress,NOP,31,6/8,210,Stanford,USA,2004,1,6,4,0,3,2,31.4,0.00%,13.00%,2.00%,0.00%,9.50%,2013
Josh Harrellson,DET,25,6/10,275,Kentucky,USA,2011,2,45,32,93,76,15,0,8.40%,14.30%,12.50%,54.70%,7.40%,2013
Josh McRoberts,CHA,27,6/10,240,Duke,USA,2007,2,37,78,661,373,333,1.3,3.70%,12.40%,13.70%,54.80%,21.50%,2013
Josh Powell,HOU,31,6/9,240,North Carolina State,USA,Undrafted,Undrafted,Undrafted,1,4,5,0,-18.4,0.00%,29.40%,16.70%,33.30%,0.00%,2013
Josh Smith,DET,28,6/9,225,None,USA,2004,1,17,77,"1,264.00",520,252,-3.6,3.40%,15.50%,24.10%,46.30%,14.70%,2013
Jrue Holiday,NOP,24,6/4,205,UCLA,USA,2009,1,17,34,487,142,268,1.4,2.40%,10.20%,22.40%,50.50%,35.80%,2013
Julyan Stone,TOR,25,6/6,200,Texas-El Paso,USA,Undrafted,Undrafted,Undrafted,21,18,20,12,-19.4,1.60%,14.90%,8.70%,49.10%,17.90%,2013
Justin Hamilton,MIA,24,7/1,255,Louisiana State,USA,2012,2,45,8,26,7,0,-16.2,6.30%,5.90%,16.90%,58.60%,0.00%,2013
Kawhi Leonard,SAS,23,6/7,230,San Diego State,USA,2011,1,15,66,844,412,133,9.9,4.20%,16.70%,18.00%,60.20%,10.30%,2013
Keith Bogans,BOS,34,6/5,215,Kentucky,USA,2003,2,43,6,12,3,3,-2.9,0.00%,6.00%,5.40%,82.00%,8.80%,2013
Kelly Olynyk,BOS,23,7/1,238,Gonzaga,Canada,2013,1,13,70,607,365,109,-0.7,9.70%,16.40%,20.10%,54.60%,12.30%,2013
Kemba Walker,CHA,24,6/1,184,Connecticut,USA,2011,1,9,73,"1,289.00",306,447,2.6,1.50%,9.90%,25.50%,49.90%,29.10%,2013
Kendall Marshall,LAL,22,6/4,195,North Carolina,USA,2012,1,13,54,430,155,477,-5,1.00%,8.30%,16.10%,49.40%,42.60%,2013
Kendrick Perkins,OKC,29,6/10,270,None,USA,2003,1,27,62,211,305,67,1.6,7.10%,17.40%,11.50%,47.40%,7.60%,2013
Kenneth Faried,DEN,24,6/8,228,Morehead State,USA,2011,1,22,80,"1,096.00",684,96,-3.2,10.30%,20.40%,20.80%,57.30%,7.10%,2013
Kent Bazemore,LAL,24,6/5,201,Old Dominion,USA,Undrafted,Undrafted,Undrafted,67,403,117,91,-12.4,1.00%,11.50%,21.80%,51.50%,16.70%,2013
Kentavious Caldwell-Pope,DET,21,6/5,205,Georgia,USA,2013,1,8,80,470,156,55,-1.2,2.20%,7.70%,13.60%,48.30%,5.00%,2013
Kenyon Martin,NYK,36,6/9,225,Cincinnati,USA,2000,1,1,32,137,134,50,2.6,6.00%,15.80%,11.60%,52.10%,11.80%,2013
Kevin Durant,OKC,25,6/9,240,Texas-Austin,USA,2007,1,2,81,"2,593.00",598,445,8.1,2.00%,16.40%,32.20%,63.50%,25.90%,2013
Kevin Garnett,BKN,38,6/11,253,None,USA,1995,1,5,54,352,358,82,-1,5.90%,28.00%,19.00%,46.70%,13.00%,2013
Kevin Love,MIN,25,6/10,243,UCLA,USA,2008,1,5,77,"2,010.00",963,341,5.9,7.60%,26.70%,28.10%,59.10%,20.50%,2013
Kevin Martin,MIN,31,6/7,197,Western Carolina,USA,2004,1,26,68,"1,298.00",203,121,3.6,1.50%,8.10%,24.30%,55.30%,9.00%,2013
Kevin Seraphin,WAS,24,6/10,278,None,France,2010,1,17,53,249,128,17,-1.6,9.00%,13.90%,21.00%,53.30%,5.40%,2013
Khris Middleton,MIL,22,6/8,217,Texas A&M,USA,2012,2,39,82,990,310,169,-7.5,2.40%,10.60%,18.60%,54.10%,11.40%,2013
Kirk Hinrich,CHI,33,6/4,190,Kansas,USA,2003,1,7,73,666,192,286,3.8,1.50%,7.70%,17.10%,49.40%,22.40%,2013
Klay Thompson,GSW,24,6/7,205,Washington State,USA,2011,1,11,81,"1,488.00",249,181,9.1,1.40%,7.00%,22.40%,55.50%,9.70%,2013
Kobe Bryant,LAL,35,6/6,205,None,USA,1996,1,13,6,83,26,38,-8.3,1.20%,13.00%,29.00%,50.50%,36.90%,2013
Kosta Koufos,MEM,25,7/1,265,Ohio State,USA,2008,1,23,80,514,418,39,1.7,11.80%,19.50%,18.70%,51.40%,4.70%,2013
Kris Humphries,BOS,29,6/9,235,Minnesota,USA,2004,1,14,69,579,409,67,-5.6,8.90%,21.30%,18.90%,55.20%,8.70%,2013
Kyle Korver,ATL,33,6/7,212,Creighton,USA,2003,2,51,71,850,282,208,3.2,0.90%,11.10%,13.60%,65.30%,12.70%,2013
Kyle Lowry,TOR,28,6/1,205,Villanova,USA,2006,1,24,79,"1,417.00",369,586,4.5,3.10%,10.00%,22.20%,56.70%,33.60%,2013
Kyle O'Quinn,ORL,24,6/10,250,Norfolk State,USA,2012,2,49,69,429,364,78,-1.2,9.00%,21.30%,18.10%,52.60%,10.40%,2013
Kyle Singler,DET,26,6/8,230,Duke,USA,2011,2,33,82,784,303,75,-4.7,4.60%,8.00%,13.70%,57.40%,4.70%,2013
Kyrie Irving,CLE,22,6/3,193,Duke,Australia,2011,1,1,71,"1,478.00",259,433,-4.9,2.00%,8.50%,27.40%,53.30%,31.10%,2013
LaMarcus Aldridge,POR,28,6/11,240,University of Texas at Austin,USA,2006,1,2,69,"1,603.00",765,178,7.5,6.50%,22.90%,29.60%,50.70%,12.80%,2013
Lance Stephenson,IND,23,6/5,230,Cincinnati,USA,2010,2,40,78,"1,080.00",558,359,5.2,3.70%,16.00%,19.10%,56.40%,21.70%,2013
Lance Thomas,NOP,26,6/8,225,Duke,USA,Undrafted,Undrafted,Undrafted,5,6,7,3,-4.8,4.70%,10.20%,14.00%,27.90%,12.00%,2013
Landry Fields,TOR,26,6/7,215,Stanford,USA,2010,2,39,30,68,59,20,-2.7,4.90%,13.80%,12.00%,44.30%,9.60%,2013
Larry Sanders,MIL,25,6/11,235,Va Commonwealth,USA,2010,1,15,23,178,165,19,-9.1,9.50%,18.50%,16.30%,47.80%,5.50%,2013
Lavoy Allen,IND,25,6/9,255,Temple,USA,2011,2,50,65,303,311,71,-8.8,9.80%,17.90%,13.90%,47.00%,10.50%,2013
LeBron James,MIA,29,6/8,250,None,USA,2003,1,1,77,"2,089.00",533,488,6.9,3.40%,16.50%,30.30%,64.90%,31.10%,2013
Leandro Barbosa,PHX,31,6/3,194,None,Brazil,2003,1,28,20,150,37,32,8.1,1.30%,8.70%,19.60%,50.60%,14.60%,2013
Lorenzo Brown,PHI,23,6/5,195,North Carolina State,USA,2013,2,52,26,64,28,41,0.8,3.00%,8.90%,19.50%,34.90%,28.10%,2013
Lou Amundson,CHI,31,6/9,225,UNLV,USA,Undrafted,Undrafted,Undrafted,19,38,55,6,-7.7,14.40%,14.60%,13.60%,44.60%,5.70%,2013
Lou Williams,ATL,27,6/1,175,None,USA,2005,2,45,60,625,124,210,-6.1,0.70%,8.00%,20.50%,54.70%,23.40%,2013
Luc Mbah a Moute,MIN,27,6/8,230,UCLA,Cameroon,2008,2,37,64,224,146,36,-7.4,5.20%,9.20%,11.20%,50.30%,5.60%,2013
Luis Scola,IND,34,6/9,240,None,Argentina,2002,2,55,82,626,391,81,0.2,6.30%,21.50%,23.40%,50.50%,10.60%,2013
Luke Babbitt,NOP,25,6/9,225,Nevada-Reno,USA,2010,1,16,27,170,88,29,7.9,4.20%,16.00%,17.30%,52.50%,8.90%,2013
Luke Ridnour,CHA,33,6/2,175,Oregon,USA,2003,1,14,61,306,97,176,-8.8,2.00%,6.90%,16.10%,45.20%,24.80%,2013
Luol Deng,CLE,29,6/9,220,Duke,United Kingdo...,2004,1,7,63,"1,011.00",361,183,0,4.30%,11.70%,22.00%,51.70%,14.10%,2013
Maalik Wayns,LAC,23,6/1,195,Villanova,USA,Undrafted,Undrafted,Undrafted,2,2,2,2,-25.5,0.00%,16.70%,9.50%,50.00%,33.30%,2013
Malcolm Thomas,UTA,25,6/9,225,San Diego State,USA,Undrafted,Undrafted,Undrafted,8,15,21,2,7,10.00%,21.10%,18.10%,44.40%,4.30%,2013
Manny Harris,LAL,24,6/5,185,Michigan,USA,Undrafted,Undrafted,Undrafted,9,73,34,11,-12.4,3.60%,14.20%,20.00%,48.50%,10.40%,2013
Manu Ginobili,SAS,36,6/6,205,None,Argentina,1999,2,57,68,838,202,293,12.9,2.10%,10.70%,23.80%,59.00%,27.40%,2013
MarShon Brooks,LAL,25,6/5,200,Providence,USA,2011,1,25,35,159,54,25,3.7,3.30%,13.20%,22.70%,55.10%,12.10%,2013
Marc Gasol,MEM,29,7/1,265,None,Spain,2007,2,48,59,859,424,215,0,4.60%,18.50%,22.00%,52.60%,18.00%,2013
Marcin Gortat,WAS,30,6/11,240,None,Poland,2005,2,57,81,"1,068.00",767,138,5.5,7.70%,21.80%,17.90%,56.80%,8.00%,2013
Marco Belinelli,SAS,28,6/5,210,None,Italy,2007,1,18,80,911,226,179,7.1,1.00%,10.10%,18.60%,60.50%,13.00%,2013
Marcus Morris Sr.,PHX,24,6/9,235,Kansas,USA,2011,1,14,82,796,319,88,3.4,4.80%,13.10%,19.70%,55.20%,7.70%,2013
Marcus Thornton,BKN,27,6/4,205,Louisiana State,USA,2009,2,43,72,703,198,77,-0.3,3.30%,8.40%,19.30%,51.10%,7.20%,2013
Mario Chalmers,MIA,28,6/2,190,Kansas,USA,2008,2,34,73,716,214,357,6.7,2.20%,8.50%,17.00%,56.70%,23.20%,2013
Markieff Morris,PHX,24,6/10,245,Kansas,USA,2011,1,13,81,"1,115.00",485,144,3.4,6.60%,15.90%,22.80%,56.40%,11.20%,2013
Marquis Teague,BKN,21,6/2,190,Kentucky,USA,2012,1,29,40,107,40,58,-8.1,0.20%,9.00%,17.60%,39.80%,22.20%,2013
Marreese Speights,GSW,26,6/10,255,Florida,USA,2008,1,16,79,508,290,32,-4.6,9.70%,18.50%,24.30%,50.70%,6.10%,2013
Martell Webster,WAS,27,6/7,230,None,USA,2005,1,6,78,759,222,97,-0.4,1.80%,9.20%,14.40%,59.10%,6.80%,2013
Marvin Williams,UTA,28,6/9,237,North Carolina,USA,2005,1,2,66,603,334,78,-5.7,5.00%,16.00%,16.70%,54.00%,7.50%,2013
Mason Plumlee,BKN,24,6/11,235,Duke,USA,2013,1,22,70,520,308,60,-3.3,8.40%,17.50%,16.80%,67.00%,8.20%,2013
Matt Barnes,LAC,34,6/7,226,UCLA,USA,2002,2,45,63,625,292,125,10.4,3.60%,12.50%,16.20%,55.20%,10.10%,2013
Matt Bonner,SAS,34,6/10,235,Florida,USA,2003,2,45,61,197,130,31,6.1,2.40%,16.30%,11.90%,58.20%,6.30%,2013
Matthew Dellavedova,CLE,23,6/4,200,St.Mary's College of California,Australia,Undrafted,Undrafted,Undrafted,72,339,123,187,3.7,2.20%,7.20%,12.80%,53.40%,21.70%,2013
Maurice Harkless,ORL,21,6/9,220,St. John's,USA,2012,1,15,80,592,264,80,-7.4,3.60%,10.30%,14.50%,54.20%,6.30%,2013
Melvin Ely,NOP,36,6/10,260,Fresno State,USA,2002,1,12,2,6,1,0,-25,0.00%,4.50%,11.30%,50.00%,0.00%,2013
Metta World Peace,NYK,34,6/7,260,St. John's,USA,1999,1,16,29,139,59,17,0.6,4.50%,11.20%,18.70%,46.90%,7.00%,2013
Meyers Leonard,POR,22,7/1,245,Illinois,USA,2012,1,11,40,98,111,18,-12,7.00%,23.40%,13.50%,48.90%,8.00%,2013
Michael Beasley,MIA,25,6/10,235,Kansas State,USA,2008,1,2,55,436,172,42,-2.8,4.30%,18.60%,24.70%,55.90%,8.80%,2013
Michael Carter-Williams,PHI,22,6/6,185,Syracuse,USA,2013,1,11,70,"1,167.00",437,441,-8.2,3.80%,14.10%,25.40%,48.00%,29.20%,2013
Michael Kidd-Gilchrist,CHA,20,6/7,232,Kentucky,USA,2012,1,2,62,448,324,52,1.4,7.50%,14.10%,15.30%,51.60%,5.50%,2013
Mike Conley,MEM,26,6/1,185,Ohio State,USA,2007,1,4,73,"1,256.00",213,441,3,1.70%,7.60%,24.00%,54.50%,29.30%,2013
Mike Dunleavy,CHI,33,6/9,230,Duke,USA,2002,1,3,82,929,345,186,3,1.80%,11.60%,16.60%,54.90%,11.90%,2013
Mike Harris,UTA,31,6/6,242,Rice,USA,Undrafted,Undrafted,Undrafted,20,84,33,5,2.6,6.10%,7.80%,15.80%,57.60%,3.70%,2013
Mike James,CHI,39,6/2,188,Duquesne,USA,Undrafted,Undrafted,Undrafted,11,11,7,17,-3.5,0.00%,10.90%,17.10%,25.10%,34.70%,2013
Mike Miller,MEM,34,6/8,218,Florida,USA,2000,1,5,82,579,207,130,-2.6,1.80%,11.10%,14.00%,61.90%,11.60%,2013
Mike Muscala,ATL,22,6/11,239,Bucknell,USA,2013,2,44,20,76,52,7,-21.7,7.80%,18.10%,18.50%,48.00%,5.80%,2013
Mike Scott,ATL,25,6/8,237,Virginia,USA,2012,2,43,80,767,284,75,-6.4,4.30%,15.40%,23.20%,55.90%,9.10%,2013
Miles Plumlee,PHX,25,6/11,255,Duke,USA,2012,1,26,80,646,626,43,1.3,10.10%,21.60%,16.00%,52.90%,3.30%,2013
Miroslav Raduljica,MIL,26,7/1,250,None,Serbia,Undrafted,Undrafted,Undrafted,48,181,108,23,-5.2,11.40%,11.60%,16.70%,60.30%,8.40%,2013
Mirza Teletovic,BKN,28,6/9,242,None,Bosnia and He...,Undrafted,Undrafted,Undrafted,72,622,266,57,-4,4.50%,15.70%,19.70%,55.90%,6.90%,2013
Mo Williams,POR,31,6/1,195,Alabama,USA,2003,2,47,74,721,153,321,2.5,2.20%,5.80%,20.00%,50.70%,26.60%,2013
Monta Ellis,DAL,28,6/3,185,None,USA,2005,2,40,82,"1,560.00",295,471,0.6,1.30%,8.80%,25.70%,53.20%,24.50%,2013
Mustafa Shakur,OKC,29,6/3,190,Arizona,USA,Undrafted,Undrafted,Undrafted,3,1,0,4,-30.8,0.00%,0.00%,22.20%,12.90%,66.70%,2013
Nando De Colo,TOR,27,6/5,195,None,France,2009,2,53,47,177,73,65,-2,2.90%,12.50%,18.00%,52.60%,20.30%,2013
Nate Robinson,DEN,30,5/9,180,Washington,USA,2005,1,21,44,457,81,112,4.5,2.50%,6.30%,23.60%,54.40%,22.60%,2013
Nate Wolters,MIL,23,6/4,190,South Dakota State,USA,2013,2,38,58,417,149,187,-1,2.50%,9.00%,16.30%,48.60%,22.70%,2013
Nazr Mohammed,CHI,36,6/10,250,Kentucky,USA,1998,1,29,80,124,175,20,-0.6,12.10%,18.80%,14.40%,44.50%,6.60%,2013
Nemanja Nedovic,GSW,23,6/3,192,None,Serbia,2013,1,30,24,26,15,13,-22.3,2.00%,7.90%,16.20%,30.60%,16.00%,2013
Nene,WAS,31,6/11,250,None,Brazil,2002,1,7,53,754,294,153,3.4,4.30%,15.50%,23.70%,53.00%,16.60%,2013
Nick Calathes,MEM,25,6/6,213,Florida,USA,2009,2,45,71,347,137,207,1.3,2.20%,9.80%,17.20%,50.60%,27.30%,2013
